acl 2.2.52-4
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-1
alsa-utils 1.1.6-1
android-studio 3.1.2.0-1
apm 1.19.0-6
# arandr 0.1.9-2
archlinux-keyring 20180404-1
argon2 20171227-3
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atom 1.26.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
bash 4.4.019-1
bc 1.07.1-1
binutils 2.30-3
bison 3.0.4-3
blueman 2.0.5-2
bluez 5.49-3
bluez-libs 5.49-3
btrfs-progs 4.16-2
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
clang 6.0.0-1
cmake 3.10.3-1
colord 1.4.3-1
compiler-rt 6.0.0-1
# compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cracklib 2.9.6-1
cryptsetup 2.0.2-1
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
deepin-qt-dbus-factory 1.0.1-1
deepin-qt5dxcb-plugin 1.1.8.4-1
deepin-qt5integration 0.2.10-1
deepin-screenshot 4.0.11-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.1-1
diffutils 3.6-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
dtkcore 1:2.0.7.1-1
dtkwidget 2.0.8-1
dtkwm 2.0.7-1
e2fsprogs 1.44.1-1
efibootmgr 15-1
efivar 34-1
electron 1.8.4-1
exo 0.12.0-1
expat 2.2.5-1
fakeroot 1.22-1
fcitx 4.2.9.6-1
fcitx-configtool 0.4.10-3
fcitx-gtk2 4.2.9.6-1
fcitx-gtk3 4.2.9.6-1
fcitx-mozc 2.20.2673.102-2
fcitx-qt4 4.2.9.6-1
fcitx-qt5 1.2.2-2
feh 2.26-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
file 5.32-1
filesystem 2018.1-2
findutils 4.6.0-2
firefox 59.0.2-2
fish 2.7.1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
freetype2 2.9-2
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
gawk 4.2.1-1
gc 7.6.4-1
gcc 7.3.1+20180406-1
gcc-libs 7.3.1+20180406-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-2
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.17.0-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glibc 2.27-2
gmp 6.1.2-1
gnome-keyring 1:3.28.0.2-1
gnupg 2.2.6-1
gnutls 3.5.18-1
go 2:1.10.1-1
gobject-introspection-runtime 1.56.1-1
gpgme 1.11.1-1
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.0-1
graphite 1:1.3.11-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-5
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsettings-qt 0.1.20170110-1
gsm 1.0.17-1
gst-plugins-base 1.14.0-1
gst-plugins-base-libs 1.14.0-1
gstreamer 1.14.0-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
guile 2.2.3-1
gvfs 1.36.1-1
gzip 1.9-1
harfbuzz 1.7.6-2
hicolor-icon-theme 0.17-1
http-parser 2.8.1-1
hunspell 1.6.2-1
hwids 20171003-1
# i3-gaps 4.15.0.1-2
# i3blocks 1.4-6
# i3lock 2.10-1
# i3status 2.11-3
iana-etc 20180221-1
icu 61.1-1
imlib2 1.5.1-1
inetutils 1.9.4-5
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-runtime-common 3-1
jemalloc 1:5.0.1-4
jfsutils 1.1.15-4
jre10-openjdk 10.0.1.u10-1
jre10-openjdk-headless 10.0.1.u10-1
js 24.2.0-4
js52 52.7.3-1
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
lame 3.100-1
lcms2 2.9-1
ldns 1.7.0-4
less 530-1
libaio 0.3.110-1
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libblockdev 2.16-1
libbluray 1.0.2-1
libbytesize 1.2-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.7-2
libcurl-compat 7.59.0-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdrm 2.4.91-3
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.5.1-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.8.2-1
libglade 2.6.4-5
libglvnd 1.0.0-1
libgpg-error 1.29-1
libgudev 232-1
libgusb 0.2.11-1
libibus 1.5.18-1
libical 3.0.3-2
libice 1.0.9-2
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libinput 1.10.5-1
libjpeg-turbo 1.5.3-1
libksba 1.3.5-1
libldap 2.4.46-1
libmm-glib 1.8rc2+1+g7e949283-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libndp 1.6-1
libnet 1.1.6-2
libnewt 0.52.20-1
libnftnl 1.0.9-1
libnghttp2 1.31.1-1
libnl 3.4.0-1
libnm 1.10.6-3
libnm-glib 1.10.6-3
libnotify 0.7.7-1
libnsl 1.2.0-1
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.20.1-2
libpulse 11.1-1
libqtxdg 3.1.0-4
libraw1394 2.1.2-1
librsvg 2:2.42.3-1
libsamplerate 0.1.9-1
libsasl 2.1.26-12
libseccomp 2.3.2-2
libsecret 0.18.6-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.62.1-1
libsoxr 0.1.3-1
libssh 0.7.5-2
libssh2 1.8.0-2
libsystemd 238.76-1
libtasn1 4.13-1
libteam 1.27-1
libtermkey 0.20-2
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-1
libtirpc 1.0.3-1
libtool 2.4.6+40+g6ca5e224-5
libunistring 0.9.9-1
libunwind 1.2.1-1
libusb 1.0.22-1
libutempter 1.1.6-2
libutil-linux 2.32-3
libuv 1.20.2-1
libva 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisual 0.4.0-7
